X1,X2,z
1.4344267495000036,5.309075431113924,B
-5.731964510411959,-0.18864101319200616,A
-0.03211384946330455,0.7125818121667636,A
-2.4770092221903606,0.04103237058349525,A
-10.09921973120074,-0.06050723107565534,A
1.1183567300370116,-1.7797596181396271,A
-0.6705965420890617,8.287198930235045,B
-1.897803470715172,-1.45923459578266,A
-0.7470848011681154,3.099833964902179,B
-4.1601797127291515,0.2769657818707508,A
-0.6920538497189976,0.7122796168830418,A
2.0724199092294797,2.6615202130076216,B
0.9921959511833411,-1.8158613664540768,B
1.9034004522279009,0.5724981926827369,A
-0.3589364861867663,-1.130157771428154,A
-3.5480541713891633,-1.0632593022416195,A
0.6396041851328543,-1.4985913923320364,B
0.255925454381117,0.6278493930473776,A
-0.7923094629039512,7.24301742569455,B
-0.05121329802305734,-6.845503276998899,B
3.7834416249381153,-2.0590766845304986,A
11.686625567344807,-1.9815859879011606,A
-4.54618862982931,1.5992184624622292,A
-0.34232501398143833,-2.6231152577811594,B
1.0388288680182547,-0.258078622156123,B
-0.2696122841264798,-3.137847889631965,B
-0.7257935386869951,-0.15266199390291024,A
0.37080806706362074,-0.05305072785504008,B
-0.7303484775690937,0.11748167178660648,A
0.33803593536125603,-0.752426275767048,A
0.005203588314914651,-7.212365439620648,B
-0.31898015180022576,-1.3279090166815297,A
0.8357686654379877,-0.8186925300340367,A
-1.529223751127139,-0.9417390676195926,B
-0.17441607393886974,2.353020629632758,B
0.6569574373548683,1.2720495357091293,B
-2.5076217803361667,0.08903399923445328,A
-0.004615472320661938,-0.08718543879542824,A
-1.6573512450286492,1.1855367513970936,A
-0.886212951863767,0.6704031199514328,A
0.788417265775043,-2.3421139732216667,B
-1.3505282577253286,0.8109721551642788,A
-2.665073789502681,-0.3549041318903516,A
-0.4871800575223946,-1.8844466000529112,B
-2.19223887334868,-6.773212417218014,B
-2.0005199048036157,-0.27079889122848966,B
5.913198831670062,-1.2794881135111171,A
-5.349276025663721,-1.4187906083872743,A
-1.4556681931302031,0.5905076033296176,A
-0.04512736300348485,-3.8412461836368537,B
-0.9560409828114079,0.21020191164689891,A
0.7434862440137695,0.5693762914734954,B
-0.2422874969315692,1.7237085974837,B
4.044964197793916,-0.40908968655986194,A
0.19879392141590602,-0.1589837820208402,A
-0.6295615672684498,-2.7320242554947316,B
1.917212006175872,0.057034093964656786,A
-2.946103114667477,1.7277796513564783,A
4.819079448128435,-1.1236329715194886,A
-1.2549945111318586,1.1070453080517697,A
-0.6474273120785394,2.398375846256701,B
-0.7542841115382687,-2.19671256732297,B
1.9203660381975451,-0.8901099239772884,A
3.301687920315228,2.2485020853443336,A
1.1018897114662305,-2.9610222990100525,B
0.46315423872377415,-0.8715459181993443,A
-0.6302961485419561,-1.7702202210006424,A
-1.4281495764295513,-1.497677409592709,B
2.160920491827794,0.24540787042457196,A
-0.6557382184711732,3.510841001832634,B
-2.431444370801235,3.3331824025563845,B
0.05222413926342636,-0.023773410713029134,A
-1.5175101971165583,-1.2137980421625416,B
0.5315325322287552,3.6444134555859162,B
-2.25543809355391,-1.3586226873169678,B
6.465400141215364,-0.20468958231184103,A
0.6554086084171081,2.983742404521596,B
3.5262567215035947,-1.1261494801585603,A
-1.2187134428298505,-5.126016132936702,B
-1.3010668540925465,-0.5894011735551131,B
2.0804503351203674,0.502461597237214,A
1.5658760273476955,-2.573937669192244,B
-0.26454054199517313,-1.303902917960528,B
-0.42811100062077184,-0.5605725985969119,B
-0.24191810489008747,0.5626816555880506,A
1.9611738335267264,1.453966225329746,A
-3.5034731778191057,-0.556992496015773,A
-1.1339920622145223,-2.4582813974849445,A
7.9125111820559955,1.0362450046689982,A
6.770135063732375,0.22721038570587967,A
-0.604487463661799,3.1754557859164163,B
-4.4455667383126425,2.9521712131859243,A
0.5074754461634361,-0.5761111182788158,A
-0.09484172991365421,1.231227356963712,A
-0.41174895595738636,-3.4342443785880152,B
-0.01709035894152079,-3.9692990863458437,B
1.2600974723310745,-6.1698445210591935,B
2.1387078130602992,-2.652406531619286,B
0.9918532842231231,3.6050253658355245,B
-3.0938165212361968,-0.491157676084094,A
-1.2515777091242701,4.5532218841496785,B
-0.5206779073405524,1.0906576295814705,A
-0.20275337568876164,-0.5873213533222224,B
-0.9475601082193564,-0.2736548861028135,B
1.4804069127571151,2.5306255448284203,B
-0.3774490861806698,1.0050614283333836,B
